"Customer","Article.Code","Purchase.Index","Document.Date","Time.Diff"
1000003,"AG5G010000",1,2021-09-06,NA
1000147,"A0RF010000",1,2021-09-21,NA
1000298,"A6HL010000",1,2021-12-21,NA
1000343,"A3GR010000",1,2021-08-05,NA
1000467,"AW9A010000",1,2023-06-04,NA
1000467,"AW9G010000",1,2023-06-04,NA
1000467,"AX10010000",1,2023-06-04,NA
1000467,"AX14010000",1,2023-06-04,NA
1000468,"A8AL010000",1,2022-12-12,NA
1000468,"AX0F010000",1,2022-12-12,NA
1000468,"AX10010000",1,2022-12-12,NA
1000468,"AX14010000",1,2022-12-12,NA
1000469,"A09A700000-1",1,2023-02-02,NA
1000469,"AVHSG0216",1,2023-02-02,NA
1000469,"A3TX010000",1,2023-05-26,NA
1000469,"AW9A010000",1,2023-05-26,NA
1000501,"A24N010000",1,2021-09-03,NA
1000501,"AWGM010000",1,2021-09-03,NA
1000540,"A3JX010000",1,2021-08-08,NA
1000540,"A3K0010000",1,2021-08-08,NA
1000540,"AEY9010003",1,2021-08-08,NA
1000540,"AX18010000",1,2022-05-17,NA
1000553,"AX18010000",1,2022-01-31,NA
1000557,"A09A700000-1",1,2021-08-07,NA
1000557,"ACEY010000",1,2021-08-07,NA
1000557,"AYCK010000",1,2021-08-07,NA
1000557,"AYCP010000",1,2021-08-07,NA
1000559,"AXFA010000",1,2021-10-09,NA
1000559,"AVHSG0248",1,2021-12-12,NA
1000586,"A30F010000",1,2021-11-15,NA
1000586,"AG5G010000",1,2021-11-15,NA
1000586,"AVHSG0217",1,2021-12-04,NA
1000586,"A2XA010000",1,2022-02-12,NA
1000586,"A30F010000",2,2022-02-12,89
1000586,"A8AL010000",1,2022-02-12,NA
1000586,"AG5G010000",2,2022-02-12,89
1000586,"A14Y010000",1,2022-05-08,NA
1000586,"A30F010000",3,2022-05-08,85
1000586,"AMFW010000",1,2022-05-08,NA
1000586,"A30F010000",4,2022-06-26,49
1000586,"AG5G010000",3,2022-06-26,134
1000586,"AVHSG0244",1,2022-06-26,NA
1000586,"AW9G010000",1,2022-06-26,NA
1000586,"AWK7010000",1,2022-06-26,NA
1000586,"AVHSG0244",2,2022-07-23,27
1000586,"AVHSG0217",2,2022-08-06,245
1000586,"A0K6010000",1,2022-09-30,NA
1000586,"A8AL010000",2,2022-09-30,230
1000586,"VMNT010000",1,2022-09-30,NA
1000586,"VMPE010000",1,2022-09-30,NA
1000586,"AMFW010000",2,2022-11-28,204
1000586,"VNHY010000",1,2022-11-28,NA
1000586,"A30F010000",5,2022-12-20,177
1000586,"VMNW010000",1,2022-12-20,NA
1000586,"VMPF010000",1,2022-12-20,NA
1000586,"AG5G010000",4,2023-01-05,193
1000586,"AX14010000",1,2023-02-06,NA
1000586,"VMPE010000",2,2023-02-06,129
1000586,"A30F010000",6,2023-05-20,151
1000586,"AWLE010000",1,2023-05-20,NA
1000586,"A30F010000",7,2023-05-20,0
1000586,"AWLE010000",2,2023-05-20,0
1000586,"A30F010000",8,2023-07-10,51
1000586,"AMFR010000",1,2023-07-10,NA
1000586,"AWK7010000",2,2023-07-10,379
1000586,"VMPE010000",3,2023-07-10,154
1000589,"AMFW010000",1,2022-04-16,NA
1000589,"AWK8010000",1,2022-04-16,NA
1000589,"A3TX010000",1,2023-05-25,NA
1000592,"AKCJ010000",1,2023-03-24,NA
1000592,"AVHSG0217",1,2023-03-24,NA
1000592,"VN5M010000",1,2023-03-24,NA
1000592,"VN6J010000",1,2023-03-24,NA
1000600,"ARM2010000",1,2021-12-29,NA
1000600,"ARM4010000",1,2021-12-29,NA
1000619,"VMJ5010000",1,2022-02-20,NA
1000623,"AR5Y010000",1,2022-03-13,NA
1000623,"ARM4010000",1,2022-03-13,NA
1000623,"AW9R010000",1,2022-03-13,NA
1000647,"AWGM010000",1,2021-08-09,NA
1000647,"AX0F010000",1,2021-08-09,NA
1000647,"AVHSG0273",1,2021-10-10,NA
1000647,"A3TL010000",1,2022-05-05,NA
1000647,"AX11010000",1,2022-05-05,NA
1000647,"AR5X010000",1,2022-05-22,NA
1000647,"AVHSG0303",1,2022-05-22,NA
1000647,"AKCJ010000",1,2022-10-10,NA
1000647,"AKCJ010000",2,2023-02-03,116
1000647,"AVHSG0442",1,2023-03-25,NA
1000665,"AWK8010000",1,2022-07-19,NA
1000666,"AR5X010000",1,2022-02-25,NA
1000673,"AR5X010000",1,2021-08-15,NA
1000673,"A3K4010000",1,2021-11-06,NA
1000676,"AW9L010000",1,2022-08-03,NA
1000676,"AW9R010000",1,2022-08-03,NA
1000676,"A0RF010000",1,2022-09-25,NA
1000676,"A0RF010000",2,2023-01-07,104
1000676,"A3GT010000",1,2023-01-07,NA
1000676,"A3GW010000",1,2023-01-07,NA
1000676,"A7RX010000",1,2023-01-07,NA
1000678,"AR5L010000",1,2021-10-10,NA
1000688,"A3K4010000",1,2022-03-11,NA
1000688,"AEY9010003",1,2022-10-02,NA
1000688,"AMFT010000",1,2022-10-02,NA
1000688,"AWK8010000",1,2022-10-02,NA
1000696,"AR5L010000",1,2022-09-11,NA
1000717,"AVHSG0369",1,2022-09-09,NA
1000717,"AWK8010000",1,2023-05-12,NA
1000717,"AXFA010000",1,2023-05-12,NA
1000717,"AYFM010000",1,2023-05-12,NA
1000733,"A0RF010000",1,2021-12-31,NA
1000742,"AMFW010000",1,2021-09-16,NA
1000750,"A3TX010000",1,2023-05-14,NA
1000756,"A3TX010000",1,2022-05-24,NA
1000817,"A1KE010000",1,2021-11-27,NA
1000817,"AVHSG0195",1,2021-11-27,NA
1000817,"AX11010000",1,2021-11-27,NA
1000817,"AW9C010000",1,2022-09-10,NA
1000817,"AW9H010000",1,2022-09-10,NA
1000824,"AWK8010000",1,2021-12-20,NA
1000824,"AWK8010000",2,2022-07-17,209
1000824,"AEY9010003",1,2023-02-18,NA
1000824,"AWK8010000",3,2023-02-18,216
1000844,"AR5K010000",1,2021-09-11,NA
1000844,"AX11010000",1,2021-09-11,NA
1000844,"AX15010000",1,2021-09-11,NA
1000844,"AXFA010000",1,2021-09-11,NA
1000844,"AVHSG0244",1,2021-11-12,NA
1000844,"AVHSG0229",1,2021-11-12,NA
1000844,"AX0E010000",1,2021-11-12,NA
1000844,"AXFA010000",2,2022-03-19,189
1000844,"AVHSG0277",1,2022-06-06,NA
1000844,"AVHSG0296",1,2022-06-06,NA
1000844,"AWK8010000",1,2023-02-18,NA
1000844,"AMFT010000",1,2023-02-18,NA
1000844,"ANLF010000",1,2023-02-18,NA
1000879,"A3TL010000",1,2021-12-18,NA
1000879,"AR5K010000",1,2021-12-18,NA
1000879,"AVHSG0240",1,2021-12-18,NA
1000879,"AMF5010000",1,2022-02-04,NA
1000931,"A3TX010000",1,2022-07-25,NA
1000931,"ANLF010000",1,2022-07-25,NA
1000940,"A09A700000-1",1,2022-11-11,NA
1000940,"AVHSG0244",1,2022-11-11,NA
1000940,"AX10010000",1,2022-11-11,NA
1000940,"AX1A010000",1,2022-11-11,NA
1000940,"AXFA010000",1,2022-11-11,NA
1000940,"AVHSG0244",2,2022-12-24,43
1000940,"AX11010000",1,2022-12-24,NA
1000967,"ANLH010000",1,2022-04-07,NA
1000969,"AR5X010000",1,2022-03-06,NA
1000969,"AW9A010000",1,2022-03-06,NA
1000969,"AW9R010000",1,2022-03-06,NA
1000969,"VMJN010000",1,2022-03-06,NA
1000969,"AEY9010003",1,2022-08-06,NA
1000969,"AMET010000",1,2022-08-06,NA
1000969,"AR5Y010000",1,2022-08-06,NA
1000969,"AR62010000",1,2022-08-06,NA
1000969,"AR5N010000",1,2022-10-22,NA
1000969,"AR5X010000",2,2022-10-22,230
1000969,"AR61010000",1,2022-10-22,NA
1000969,"AW9X010000",1,2022-11-12,NA
1000969,"VN5M010000",1,2023-02-25,NA
1000969,"VN5T010000",1,2023-02-25,NA
1000969,"VN60010000",1,2023-02-25,NA
1000969,"VN6J010000",1,2023-02-25,NA
1000969,"VP2R010001",1,2023-02-25,NA
1000969,"AR5X010000",3,2023-02-27,128
1000969,"AR5Y010000",2,2023-03-17,223
1000969,"VMNT010000",1,2023-03-17,NA
1000969,"VMYJ010000",1,2023-03-17,NA
1000969,"AR5Y010000",3,2023-04-23,37
1000969,"AR62010000",2,2023-04-23,260
1000981,"AVHSG0216",1,2021-11-27,NA
1000981,"AX11010000",1,2021-11-27,NA
1000981,"AX15010000",1,2021-11-27,NA
1000981,"AVHSG0216",2,2021-12-03,6
1001000,"AMF5010000",1,2022-07-15,NA
1001023,"VP2R010001",1,2023-05-24,NA
1001053,"AWK7010000",1,2023-07-23,NA
1001053,"AX10010000",1,2023-07-23,NA
1001059,"AR5K010000",1,2023-07-15,NA
1001059,"AWK7010000",1,2023-07-15,NA
1001062,"A14G010000",1,2021-10-09,NA
1001062,"AMF5010000",1,2021-11-20,NA
1001062,"AX09010000",1,2022-03-26,NA
1001065,"AMFR010000",1,2023-05-25,NA
1001065,"AR5X010000",1,2023-05-25,NA
1001065,"VN5M010000",1,2023-05-25,NA
1001065,"VN6J010000",1,2023-05-25,NA
1001079,"AR5L010000",1,2021-10-18,NA
1001079,"AR5P010000",1,2021-10-18,NA
1001107,"AMFW010000",1,2021-10-27,NA
1001107,"AX18010000",1,2021-10-27,NA
1001124,"AG5G010000",1,2022-05-13,NA
1001124,"AVHSG0284",1,2022-05-13,NA
1001124,"AYFM010000",1,2022-05-13,NA
1001142,"A0RF010000",1,2021-10-11,NA
1001142,"AX09010000",1,2021-10-11,NA
1001142,"AX10010000",1,2021-10-11,NA
1001142,"AX14010000",1,2021-10-11,NA
1001142,"AX18010000",1,2021-10-11,NA
1001142,"AX11010000",1,2022-05-14,NA
1001142,"AX15010000",1,2022-05-14,NA
1001151,"AEY9010003",1,2021-12-23,NA
1001151,"AR5L010000",1,2021-12-23,NA
1001151,"AR5Y010000",1,2021-12-23,NA
1001151,"AR5X010000",1,2022-03-22,NA
1001151,"AW9H010000",1,2022-03-22,NA
1001151,"AX1A010000",1,2022-03-22,NA
1001151,"AR5L010000",2,2022-10-14,295
1001151,"AW9G010000",1,2022-10-14,NA
1001151,"AX18010000",1,2022-10-14,NA
1001151,"A3TP010000",1,2023-02-01,NA
