"id","country","type","revenue","ProductServices"
"4. SeaCargo Ges.m.b.H.","Oceanus","Entity.Organization.LogisticsCompany",23304.04,"Tuna, sword fish, bass, trout, and salmon, as well as offers shellfish, mollusks, crustaceans, sea vegetables, shrimp, lobster, squid, oysters, crabs, and clams, and other related seafood products"
"6. America Transit Plc","Oceanus","Entity.Organization.LogisticsCompany",67813.08,"Full-service cargo transportation logistics management services"
"9. RiverLine CJSC","Oceanus","Entity.Organization.Company",50134.21,"Unknown"
"Abbott, Mcbride and Edwards","Uziland","Entity.Organization.Company",5994.73,"Unknown"
"Abbott-Gomez","Mawalara","Entity.Organization.Company",71766.67,"Furniture and home accessories"
"Abbott-Sullivan","Oceanus","Entity.Organization.Company",4746.67,"Unknown"
"Acevedo PLC","Mawalara","Entity.Organization.Company",16966.67,"Luggage and traveling bags"
"Acevedo and Sons","Imazam","Entity.Organization.Company",46566.67,"Fish, crustaceans and molluscs"
"Acevedo, Lloyd and Young","Uzifrica","Entity.Organization.Company",110666.67,"Industrial fabrics, home furnishing and outdoor fabrics, and apparel and fashion fabrics, as well as short fiber fabrics, long fiber fabrics and yarns; Nylon textile, polyester textiles, olefin fabric, vinyl mesh fabric, recycle polyester, spun polyester fabric, dyeing textile, yarn dyed, recycled nylon; Special process fabric, including PVC lamination, CPU laminating, PU coating, AC coating, flame proof, UV-cut, anti-germs and mildew proof, durable water repellent, water absorption and dirt proof, water proof and breathable, embossing, pressing, printing, and form padded with tricot"
"Acevedo, Miller and Edwards","Novarctica","Entity.Organization.Company",29866.67,"Battery chargers"
"Acevedo, Thompson and Myers","Oceanus","Entity.Organization.Company",620417.14,"Electronic interconnect solutions"
"Acosta LLC","Oceanus","Entity.Organization.Company",72112.79,"Serves the domestic and international marketplace with a complementary range of premium food ingredients for the manufacturing, foodservice, and retail segments"
